species,atpA,atpB,matK,rbcL,rps4,rps4-trnS,trnL-trnF,plastome,join_by,specimen_voucher,publication,outgroup
Pyrrosia_ensata,NA,KY064548,NA,KY064523,NA,KY064571,NA,NA,voucher,tns1184171,NA,FALSE
Pyrrosia_fallax,NA,NA,NA,KY931081,KY931232,KY931232,KY931368,NA,voucher,chensitw10494,NA,FALSE
Pyrrosia_flocculosa,NA,NA,NA,KY931047,KY931198,KY931198,KY931346,NA,voucher,zhang7032,NA,FALSE
Pyrrosia_foveolata,NA,NA,NA,DQ642167,DQ642206,DQ642206,DQ642252,NA,voucher,cultrbgedinburghcollnr19621476schneidersn,NA,FALSE
Pyrrosia_glabra,NA,NA,NA,KY931116,KY931267,KY931267,KY931398,NA,voucher,zhang6295,NA,FALSE
Pyrrosia_hastata,NA,KY064557,NA,AB575296,NA,NA,NA,NA,monophy,NA,NA,FALSE
Pyrrosia_heteractis,NA,NA,NA,NA,NA,NA,NA,MT130592,NA,NA,NA,FALSE
Pyrrosia_kinabaluensis,NA,NA,NA,KY931085,KY931237,KY931237,KY931373,NA,voucher,wade4306,NA,FALSE
Pyrrosia_laevis,NA,NA,NA,KY632785,NA,NA,NA,NA,unjoined,6769shuiym,"Phylogeny, historical biogeography and characters evolution of the",FALSE
Pyrrosia_lanceolata,NA,NA,NA,KY931087,KY931239,KY931239,KY931375,NA,voucher,zhang9104,NA,FALSE
Pyrrosia_linearifolia,NA,NA,NA,KY931090,KY931242,KY931242,KY931378,NA,voucher,knapp3762,NA,FALSE
Pyrrosia_lingua,NA,NA,NA,NA,NA,NA,NA,MT210540,NA,NA,NA,FALSE
Pyrrosia_longifolia,NA,NA,NA,KY931103,KY931254,KY931254,KY931388,NA,voucher,zhang9088,NA,FALSE
Pyrrosia_mannii,NA,NA,NA,KY931105,KY931256,KY931256,KY931390,NA,voucher,fraserjenkinsfn10,NA,FALSE
Pyrrosia_matsudai,NA,NA,NA,KY931107,KY931259,KY931259,NA,NA,voucher,knapp3796,NA,FALSE
Pyrrosia_niphoboloides,NA,NA,NA,DQ642168,NA,DQ642207,DQ642254,NA,voucher,cultrbgedinburghcollnr19601780schneidersn,NA,FALSE
Pyrrosia_nummulariifolia,NA,JX103671,NA,JX103713,JX103755,JX103755,JX103797,NA,voucher,wu2570,NA,FALSE
Pyrrosia_pannosa,NA,KY064556,NA,KY064529,NA,KY064577,NA,NA,voucher,tns01184186,NA,FALSE
Pyrrosia_penangiana,NA,NA,NA,NA,NA,NA,NA,MW876359,NA,NA,NA,FALSE
Pyrrosia_petiolosa,NA,NA,NA,NA,NA,NA,NA,MN885667,NA,NA,NA,FALSE
Pyrrosia_piloselloides,NA,NA,NA,KY931128,KY931281,KY931281,KY931408,NA,voucher,wade1409,NA,FALSE
Pyrrosia_polydactyla,EF463844,EF463511,NA,EF463259,NA,NA,NA,NA,voucher,ranker2080,NA,FALSE
Pyrrosia_porosa,NA,NA,NA,KY931135,KY931288,KY931288,KY931412,NA,voucher,cicuzza2079,NA,FALSE
Pyrrosia_rasamalae,NA,NA,NA,KY931082,KY931233,KY931233,KY931369,NA,voucher,wade4385,NA,FALSE
Pyrrosia_rhodesiana,NA,NA,NA,KY931104,KY931255,KY931255,KY931389,NA,voucher,ravelonarivo3000,NA,FALSE
Pyrrosia_rupestris,NA,NA,NA,AY362558,AY362623,AY362623,NA,NA,publication,NA,unraveling the phylogeny of polygrammoid ferns (polypodiaceae and,FALSE
Pyrrosia_samarensis,NA,NA,NA,DQ642170,DQ642209,DQ642209,DQ642256,NA,voucher,cultbotgardleidennr824026hovenkampsn,NA,FALSE
Pyrrosia_serpens,EF463845,EF463512,NA,EF463260,NA,NA,NA,NA,voucher,ranker1933,NA,FALSE
Pyrrosia_sheareri,NA,NA,NA,NA,NA,NA,NA,MT130682,NA,NA,NA,FALSE
Pyrrosia_similis,NA,NA,NA,KY931147,KY931300,KY931300,KY931422,NA,voucher,zhang7040,NA,FALSE
Pyrrosia_sphaerosticha,NA,NA,NA,KY931152,KY931304,KY931304,KY931427,NA,voucher,wade3966,NA,FALSE
Pyrrosia_stenophylla,NA,NA,NA,KY931172,KY931324,KY931324,KY931446,NA,voucher,zhang6939,NA,FALSE
Pyrrosia_stigmosa,NA,JX103674,NA,JX103716,JX103758,JX103758,JX103800,NA,monophy,NA,NA,FALSE
Pyrrosia_stolzii,NA,NA,NA,KY931157,KY931310,KY931310,KY931433,NA,voucher,kayombo2711,NA,FALSE
Pyrrosia_subfurfuracea,NA,NA,NA,NA,NA,NA,NA,MK679765,NA,NA,NA,FALSE
Radiovittaria_gardneriana,NA,NA,KX896864,MH359295,NA,NA,MH359321,NA,voucher,rothfel3740,NA,FALSE
Radiovittaria_latifolia,KX165231,NA,NA,KX165041,NA,NA,NA,NA,monophy,NA,NA,FALSE
Radiovittaria_minima,KX165232,NA,NA,U21288,NA,NA,NA,NA,monophy,NA,NA,FALSE
Radiovittaria_moritziana,KX165234,NA,NA,KX165044,NA,NA,NA,NA,monophy,NA,NA,FALSE
Radiovittaria_remota,NA,NA,NA,U21289,NA,NA,NA,NA,unjoined,NA,Phylogeny of the Vittariaceae: convergent simplification leads to a,FALSE
Radiovittaria_ruiziana,KX165236,NA,NA,KX165046,NA,NA,NA,NA,monophy,NA,NA,FALSE
Radiovittaria_stipitata,KX165237,NA,NA,KX165047,NA,NA,NA,NA,voucher,eschuettpelz251,NA,FALSE
Regnellidium_diphyllum,NA,DQ643290,NA,U24262,DQ536357,DQ536357,DQ643385,NA,monophy,NA,NA,FALSE
Reholttumia_costata,NA,NA,NA,MT657517,NA,NA,NA,NA,unjoined,taranker2609,Biogeography of Pacific pteridophytes in a global context,FALSE
Reholttumia_ecallosa,NA,NA,NA,AF425113,AF425182,AF425182,AF425141,NA,voucher,cranfillch25,NA,FALSE
Reholttumia_hudsoniana,NA,NA,NA,MT657516,NA,NA,NA,NA,unjoined,krwood17108,Biogeography of Pacific pteridophytes in a global context,FALSE
Reholttumia_truncata,NA,NA,NA,NA,NA,NA,NA,MT130565,NA,NA,NA,FALSE
Rhachidosorus_blotianus,JN168064,JN168044,NA,JN168022,JN168097,JN168097,NA,NA,voucher,sglub46,NA,FALSE
Rhachidosorus_consimilis,NA,NA,NA,NA,NA,NA,NA,KY427356,NA,NA,NA,FALSE
Rhachidosorus_mesosorus,JF832140,JF832180,NA,JF832084,NA,NA,NA,NA,voucher,matsumotosn,NA,FALSE
Rhachidosorus_pulcher,JF303998,JF832181,JF303962,JF303971,NA,NA,NA,NA,monophy,NA,NA,FALSE
Rheopteris_cheesmaniae,EF452126,EF452063,KX896871,EF452176,KU147323,KU147323,NA,NA,monophy,NA,NA,FALSE
Rouxopteris_boryi,NA,NA,NA,KF992488,NA,NA,NA,NA,unjoined,shennequin254,Evolutionary patterns in the assembly of fern diversity on the,FALSE
Rumohra_adiantiformis,MF158004,MF157746,NA,MF157818,NA,MF157860,MF157966,NA,voucher,hiraiprado771,NA,FALSE
Rumohra_berteroana,MF158019,MF157762,NA,KJ464503,NA,KJ464750,KJ464657,NA,voucher,danton1964,NA,FALSE
Rumohra_glandulosissima,MF158021,MF157763,NA,MF157838,NA,MF157877,MF157986,NA,voucher,pradohirai2350,NA,FALSE
Rumohra_linearisquamata,MF158022,MF157764,NA,MF157839,NA,MF157878,MF157987,NA,voucher,rouhan1395,NA,FALSE
Rumohra_lokohensis,MF158024,MF157767,NA,MF157841,NA,MF157881,MF157990,NA,voucher,rouhan1167,NA,FALSE
Rumohra_madagascarica,MF158031,MF157774,NA,MF157848,NA,MF157888,MF157997,NA,voucher,rouhan1349,NA,FALSE
Rumohra_quadrangularis,MF158032,MF157775,NA,MF157849,NA,MF157889,MF157998,NA,voucher,pradohirai2408,NA,FALSE
Saccoloma_brasiliense,NA,NA,NA,KJ628819,NA,NA,NA,NA,unjoined,NA,Phylogenetic relatedness within neotropical fern communities,FALSE
Saccoloma_domingense,NA,NA,NA,KJ628820,NA,NA,NA,NA,unjoined,NA,Phylogenetic relatedness within neotropical fern communities,FALSE
Saccoloma_elegans,NA,NA,NA,NA,NA,NA,NA,MT130580,NA,NA,NA,FALSE
Saccoloma_inaequale,NA,NA,NA,NA,NA,NA,NA,MK705756,NA,NA,NA,FALSE
Saccoloma_nigrescens,NA,NA,NA,MW138256,NA,NA,NA,NA,unjoined,jhnitta734,A taxonomic and molecular survey of the pteridophytes of the,FALSE
Sadleria_cyatheoides,JF832141,EF463356,JF832288,EF463161,NA,NA,NA,NA,voucher,schuettpelz507,NA,FALSE
Sadleria_pallida,NA,NA,NA,U05943,NA,NA,NA,NA,unjoined,NA,Phylogenetic relationships of dennstaedtioid ferns: evidence from,FALSE
Sadleria_souleytiana,NA,NA,NA,AB040591,NA,NA,NA,NA,unjoined,NA,"Phylogenetic analysis of Blechnaceae (Filicales, Filicophyta) based",FALSE
Sadleria_squarrosa,NA,NA,NA,MT657649,NA,NA,NA,NA,unjoined,krwood16802,Biogeography of Pacific pteridophytes in a global context,FALSE
Sadleria_unisora,NA,NA,NA,AB040593,NA,NA,NA,NA,unjoined,NA,"Phylogenetic analysis of Blechnaceae (Filicales, Filicophyta) based",FALSE
Sadleria_wagneriana,NA,NA,NA,MT657653,NA,NA,NA,NA,unjoined,krwood16142,Biogeography of Pacific pteridophytes in a global context,FALSE
Sahashia_stricta,NA,NA,NA,D14881,NA,NA,NA,NA,unjoined,NA,Phylogenetic relationships of ferns deduced from rbcL gene sequence,FALSE
Salpichlaena_hookeriana,NA,NA,NA,MH179034,MH178836,MH178836,NA,NA,voucher,ht16902,NA,FALSE
Salpichlaena_hybrida,NA,NA,NA,MH179031,MH178833,MH178833,NA,NA,voucher,ht15787,NA,FALSE
Salpichlaena_papyrus,NA,NA,NA,MH179026,MH178818,MH178818,NA,NA,voucher,ap80460,NA,FALSE
Salpichlaena_volubilis,EF463621,EF463357,NA,EF463162,NA,NA,NA,NA,voucher,christenhusz3949,NA,FALSE
Salvinia_cucullata,NA,NA,NA,NA,NA,NA,NA,MF177095,NA,NA,NA,FALSE
Salvinia_minima,NA,NA,NA,AY817657,NA,NA,NA,NA,unjoined,NA,Studies in Salvinia minima,FALSE
Salvinia_molesta,NA,EU269662,NA,EU269668,EU269675,EU269675,EU269688,NA,voucher,smithsn,NA,FALSE
Salvinia_natans,NA,EU269665,NA,AB574740,EU269678,EU269678,EU269691,NA,monophy,NA,NA,FALSE
Salvinia_oblongifolia,NA,EU269666,NA,EU269670,AM176512,EU269679,EU269692,NA,voucher,schneidersn,NA,FALSE
Sceptridium_atrovirens,NA,NA,NA,AY138402,NA,NA,NA,NA,unjoined,NA,Phylogenetic studies of Ophioglossaceae: evidence from rbcL and,FALSE
Sceptridium_biternatum,NA,NA,NA,L13474,NA,NA,NA,NA,unjoined,NA,Phylogenetic analysis of green plant rbcL sequences,FALSE
Sceptridium_daucifolium,NA,MN524721,MN524809,MN524754,MN524656,MN524656,MN524662,NA,voucher,lbzhang7560,NA,FALSE
Sceptridium_dissectum,NA,NA,NA,AY138401,NA,NA,NA,NA,unjoined,NA,Phylogenetic studies of Ophioglossaceae: evidence from rbcL and,FALSE
Sceptridium_formosanum,NA,NA,NA,JF303963,NA,NA,NA,NA,unjoined,NA,First insights into fern matK phylogeny,FALSE
Sceptridium_japonicum,NA,NA,NA,MN030169,NA,NA,NA,NA,unjoined,NA,Analysis on the phylogenetic classification and molecular evolution,FALSE
Sceptridium_lunarioides,NA,NA,NA,AY138406,NA,NA,NA,NA,unjoined,NA,Phylogenetic studies of Ophioglossaceae: evidence from rbcL and,FALSE
Sceptridium_microphyllum,NA,NA,NA,AB574665,NA,NA,NA,NA,unjoined,tns1107870,Molecular species identification with rich floristic sampling: DNA,FALSE
Sceptridium_multifidum,NA,NA,NA,AY138400,NA,NA,NA,NA,unjoined,NA,Phylogenetic studies of Ophioglossaceae: evidence from rbcL and,FALSE
Sceptridium_nipponicum,NA,NA,NA,AB574668,NA,NA,NA,NA,unjoined,tns1107878,Molecular species identification with rich floristic sampling: DNA,FALSE
Sceptridium_oneidense,NA,NA,NA,AY138898,NA,NA,NA,NA,unjoined,NA,Phylogenetic studies of Ophioglossaceae: evidence from rbcL and,FALSE
Sceptridium_pseudoternatum,NA,NA,NA,AB574671,NA,NA,NA,NA,unjoined,NA,Molecular species identification with rich floristic sampling: DNA,FALSE
Sceptridium_robustum,NA,NA,NA,AB574667,NA,NA,NA,NA,unjoined,tns1107867,Molecular species identification with rich floristic sampling: DNA,FALSE
Sceptridium_rugulosum,NA,NA,NA,MG215121,NA,NA,NA,NA,unjoined,ccdb23327c04,Using herbarium-derived DNAs to assemble a large-scale DNA barcode,FALSE
Sceptridium_schaffneri,NA,NA,NA,DQ110380,NA,NA,NA,NA,unjoined,sundue807ny,Gene transfer from a parasitic flowering plant to a fern,FALSE
Sceptridium_ternatum,NA,NA,NA,MN030172,NA,NA,NA,NA,unjoined,NA,Analysis on the phylogenetic classification and molecular evolution,FALSE
Sceptridium_triangularifolium,NA,NA,NA,AB574672,NA,NA,NA,NA,unjoined,tns771440,Molecular species identification with rich floristic sampling: DNA,FALSE
Schizaea_dichotoma,NA,AY612709,NA,AY612683,NA,NA,NA,NA,voucher,jgame9807,NA,FALSE
Schizaea_elegans,NA,NA,NA,NA,NA,NA,NA,KX258660,NA,NA,NA,FALSE
Schizaea_fistulosa,NA,NA,NA,KY099860,NA,NA,NA,NA,unjoined,nitta3736,Life cycle matters: DNA barcoding reveals contrasting community,FALSE
Schizaea_incurvata,NA,NA,NA,KT423960,NA,NA,NA,NA,unjoined,henkel2482,Molecular phylogeny and character evolution of Anemiaceae,FALSE
Schizaea_pectinata,NA,NA,NA,NA,NA,NA,NA,KX258661,NA,NA,NA,FALSE
Schizaea_poeppigiana,NA,NA,NA,AJ303406,NA,NA,NA,NA,unjoined,emartinez9502,Schizaeaceae: a phylogenetic approach,FALSE
Schizaea_pusilla,NA,NA,NA,AJ303410,NA,NA,NA,NA,unjoined,motley2114,Schizaeaceae: a phylogenetic approach,FALSE
Schizaea_stricta,NA,NA,NA,AJ303407,NA,NA,NA,NA,unjoined,viventinia1268,Schizaeaceae: a phylogenetic approach,FALSE
Scleroglossum_pusillum,NA,KY711911,NA,KY712079,NA,KY712404,KY711741,NA,voucher,middleton5137,NA,FALSE
Scleroglossum_sulcatum,NA,AY459498,NA,AY460665,NA,NA,NA,NA,voucher,bowdenkerbyinraulerson24182bucguam,NA,FALSE
Scleroglossum_wooroonooran,NA,KM218835,NA,KM218809,NA,KM106189,KM106091,NA,voucher,kessler14289,NA,FALSE
Scoliosorus_ensiformis,NA,NA,NA,NA,NA,NA,NA,MH173090,NA,NA,NA,FALSE
Selliguea_albidosquamata,KT289108,KT289124,KT289140,KT289200,NA,NA,KT289338,NA,monophy,NA,NA,FALSE
Selliguea_brachypodia,NA,NA,NA,AY362557,AY362621,AY362621,NA,NA,publication,NA,unraveling the phylogeny of polygrammoid ferns (polypodiaceae and,FALSE
Selliguea_capitellata,NA,NA,NA,NA,NA,NA,NA,MW876361,NA,NA,NA,FALSE
Selliguea_caudiformis,KT289109,KT289125,KT289141,KT289201,NA,NA,KT289340,NA,voucher,karge740,NA,FALSE
Selliguea_chenopus,NA,NA,NA,NA,NA,NA,NA,MW876366,NA,NA,NA,FALSE
Selliguea_chrysotricha,NA,NA,NA,JQ685396,NA,NA,KT289305,NA,monophy,NA,NA,FALSE
Selliguea_conjuncta,NA,NA,NA,JQ685397,JQ685461,JQ685461,JQ700474,NA,publication,NA,from the himalayan region or the malay archipelago: molecular,FALSE
Selliguea_conmixta,NA,NA,NA,JQ685398,JQ685462,JQ685462,JQ700475,NA,publication,NA,from the himalayan region or the malay archipelago: molecular,FALSE
Selliguea_cyrtomioides,NA,NA,NA,JQ685377,NA,JQ685441,JQ700454,NA,publication,NA,from the himalayan region or the malay archipelago: molecular,FALSE
Selliguea_dactylina,NA,NA,NA,JQ685403,JQ685467,JQ685467,JQ700480,NA,monophy,NA,NA,FALSE
Selliguea_digitata,NA,NA,NA,NA,NA,NA,KT289307,NA,unjoined,NA,NA,FALSE
Selliguea_enervis,KT289110,KT289126,KT289142,KT289202,NA,NA,KT289341,NA,voucher,karge812,NA,FALSE
Selliguea_engleri,NA,NA,NA,AB575248,NA,NA,NA,NA,unjoined,tns763119,Molecular species identification with rich floristic sampling: DNA,FALSE
Selliguea_feei,NA,NA,NA,AY529170,AY529192,AY529192,NA,NA,voucher,javawilson2862,NA,FALSE
Selliguea_feeoides,NA,NA,NA,MT657616,NA,NA,NA,NA,unjoined,dhlorence10627,Biogeography of Pacific pteridophytes in a global context,FALSE
Selliguea_glauca,KT289111,KT289127,KT289143,NA,NA,NA,KT289342,NA,voucher,karge691,NA,FALSE
Selliguea_griffithiana,NA,NA,NA,NA,NA,NA,NA,MW876369,NA,NA,NA,FALSE
Selliguea_hastata,NA,NA,NA,KT289175,NA,NA,KT289316,NA,voucher,qi4566,NA,FALSE
Selliguea_hellwigii,NA,NA,NA,EU128501,EU128508,EU128508,EU128518,NA,voucher,hovenkampsn,NA,FALSE
Selliguea_heterocarpa,NA,NA,NA,NA,NA,NA,NA,MW876362,NA,NA,NA,FALSE
Selliguea_incisocrenata,NA,NA,NA,KT289180,NA,NA,KT289321,NA,voucher,qi4525,NA,FALSE
Selliguea_laciniata,NA,NA,NA,AY529171,AY529193,AY529193,AY529484,NA,monophy,NA,NA,FALSE
Selliguea_lagunensis,NA,NA,NA,KT289203,NA,NA,KT289343,NA,voucher,sun40042,NA,FALSE
Selliguea_lanceola,NA,NA,NA,AY459173,AY459186,AY459186,AY459181,NA,publication,NA,phylogenetic relationships of the enigmatic malesian fern,FALSE
Selliguea_lanceolata,EF463847,EF463513,NA,EF463261,NA,NA,NA,NA,voucher,munzinger1253,NA,FALSE
Selliguea_lateritia,NA,NA,NA,EU128502,EU128509,EU128509,EU128519,NA,voucher,hovenkampsn,NA,FALSE
Selliguea_lehmannii,NA,NA,NA,NA,NA,NA,NA,MT130554,NA,NA,NA,FALSE
Selliguea_majoensis,NA,NA,NA,JQ685420,NA,NA,NA,NA,unjoined,NA,From the Himalayan Region or the Malay Archipelago: Molecular,FALSE
Selliguea_metacoela,NA,NA,NA,NA,NA,NA,NA,MW876365,NA,NA,NA,FALSE
Selliguea_moulmeinensis,NA,NA,NA,NA,NA,NA,NA,MW876364,NA,NA,NA,FALSE
Selliguea_oxyloba,NA,NA,NA,NA,NA,NA,NA,MT130663,NA,NA,NA,FALSE
Selliguea_pianmaensis,NA,NA,NA,NA,JQ685490,JQ685490,JQ700495,NA,publication,NA,from the himalayan region or the malay archipelago: molecular,FALSE
Selliguea_plantaginea,EF463848,EF463514,NA,EF463262,NA,NA,NA,NA,voucher,ranker1897,NA,FALSE
Selliguea_platyphylla,NA,NA,NA,KT289206,NA,NA,KT289346,NA,voucher,hovenkamp05120,NA,FALSE
Selliguea_pyrolifolia,KT289112,KT289128,KT289144,KT289207,NA,NA,KT289347,NA,voucher,sunph16,NA,FALSE
Selliguea_rhynchophylla,KT289107,KT289123,KT289139,KT289189,NA,NA,KT289328,NA,voucher,zhang2989,NA,FALSE
Selliguea_senanensis,NA,NA,NA,KT289191,NA,NA,KT289330,NA,voucher,rao045b,NA,FALSE
Selliguea_soridens,KT289113,KT289129,KT289145,KT289208,NA,NA,KT289348,NA,voucher,cicuzza951,NA,FALSE
Selliguea_stenophylla,NA,NA,NA,KT289209,NA,NA,KT289349,NA,voucher,schuettpelz722,NA,FALSE
Selliguea_stenosquamis,KT289114,KT289130,KT289146,KT289210,NA,NA,KT289350,NA,voucher,cicuzza795,NA,FALSE
Selliguea_subsparsa,NA,NA,NA,NA,AY362620,AY362620,NA,NA,publication,NA,unraveling the phylogeny of polygrammoid ferns (polypodiaceae and,FALSE
Selliguea_taeniata,NA,NA,NA,NA,NA,NA,NA,MW876349,NA,NA,NA,FALSE
Selliguea_tatsienensis,NA,NA,NA,NA,NA,NA,NA,MT130544,NA,NA,NA,FALSE
Selliguea_tomentosa,KT289101,KT289117,KT289133,KT289149,NA,NA,KT289290,NA,voucher,zhang5057,NA,FALSE
Selliguea_triloba,NA,NA,NA,KT289214,NA,NA,KT289354,NA,voucher,schuettpelz736,NA,FALSE
Selliguea_trisecta,NA,NA,NA,JQ685438,NA,NA,NA,NA,unjoined,NA,From the Himalayan Region or the Malay Archipelago: Molecular,FALSE
Selliguea_wardii,NA,NA,NA,KT289158,NA,NA,KT289299,NA,monophy,NA,NA,FALSE
Selliguea_whitfordii,KT289116,KT289132,KT289148,KT289216,NA,NA,KT289355,NA,voucher,karger271,NA,FALSE
Selliguea_wusugongii,NA,NA,NA,MW462198,MW462197,MW462197,MW462196,NA,voucher,zhangl2955,NA,FALSE
Selliguea_yakuinsularis,NA,NA,NA,AB575251,NA,NA,NA,NA,unjoined,tns763337,Molecular species identification with rich floristic sampling: DNA,FALSE
Selliguea_yakushimensis,NA,NA,NA,NA,NA,NA,NA,MN623352,NA,NA,NA,FALSE
Serpocaulon_adnatum,NA,NA,NA,AY362593,AY362666,AY362666,NA,NA,publication,NA,unraveling the phylogeny of polygrammoid ferns (polypodiaceae and,FALSE
Serpocaulon_appressum,NA,NA,NA,DQ151905,DQ151930,DQ151930,DQ151957,NA,publication,NA,"serpocaulon (polypodiaceae), a new genus segregated from polypodium",FALSE
Serpocaulon_attenuatum,NA,NA,NA,DQ151912,DQ151937,DQ151937,DQ151964,NA,publication,NA,"serpocaulon (polypodiaceae), a new genus segregated from polypodium",FALSE
Serpocaulon_caceresii,NA,NA,NA,EF551066,EF551082,EF551082,EF551120,NA,voucher,jimenez2544,NA,FALSE
Serpocaulon_catharinae,NA,NA,NA,EF551068,EF551086,EF551086,EF551124,NA,voucher,smith2908,NA,FALSE
Serpocaulon_crystalloneuron,NA,NA,NA,DQ151906,NA,NA,NA,NA,unjoined,boliviajimenez1109,"Serpocaulon (Polypodiaceae), a new genus segregated from Polypodium",FALSE
Serpocaulon_dasypleuron,NA,NA,NA,NA,EF551089,EF551089,EF551127,NA,voucher,moran7490,NA,FALSE
Serpocaulon_dissimile,NA,NA,NA,DQ151908,EF551090,DQ151933,DQ151960,NA,monophy,NA,NA,FALSE
Serpocaulon_eleutherophlebium,NA,NA,NA,NA,NA,NA,DQ151983,NA,unjoined,NA,NA,FALSE
Serpocaulon_falcaria,NA,NA,NA,EF551069,EF551093,EF551093,EF551131,NA,voucher,kromer2649,NA,FALSE
Serpocaulon_fraxinifolium,NA,NA,NA,NA,NA,NA,NA,MW876370,NA,NA,NA,FALSE
Serpocaulon_funckii,NA,NA,NA,AY362603,AY362675,AY362675,NA,NA,publication,NA,unraveling the phylogeny of polygrammoid ferns (polypodiaceae and,FALSE
Serpocaulon_gilliesii,NA,NA,NA,DQ151911,DQ151936,DQ151936,DQ151963,NA,publication,NA,"serpocaulon (polypodiaceae), a new genus segregated from polypodium",FALSE
Serpocaulon_intricatum,NA,NA,NA,DQ151919,NA,NA,DQ151967,NA,publication,NA,"serpocaulon (polypodiaceae), a new genus segregated from polypodium",FALSE
Serpocaulon_lasiopus,NA,NA,NA,EF551072,EF551100,EF551100,EF551138,NA,voucher,jimenez2488,NA,FALSE
Serpocaulon_latipes,NA,NA,NA,DQ151915,NA,NA,NA,NA,unjoined,boliviajimenez1324,"Serpocaulon (Polypodiaceae), a new genus segregated from Polypodium",FALSE
Serpocaulon_latissimum,NA,NA,NA,DQ151916,DQ151941,DQ151941,DQ151968,NA,publication,NA,"serpocaulon (polypodiaceae), a new genus segregated from polypodium",FALSE
Serpocaulon_levigatum,NA,NA,NA,NA,NA,NA,NA,MW876371,NA,NA,NA,FALSE
Serpocaulon_loriceum,NA,NA,NA,NA,NA,NA,NA,MW876372,NA,NA,NA,FALSE
Serpocaulon_loriciforme,NA,NA,NA,EF551075,EF551105,EF551105,EF551143,NA,voucher,moran6749,NA,FALSE
Serpocaulon_maritimum,NA,NA,NA,DQ151918,DQ151943,DQ151943,DQ151970,NA,voucher,cultchalfordsmithsn,NA,FALSE
Serpocaulon_menisciifolium,NA,NA,NA,EF551076,EF551108,EF551108,EF551146,NA,voucher,smith2909,NA,FALSE
Serpocaulon_patentissimum,NA,NA,NA,AY362602,AY362674,AY362674,NA,NA,publication,NA,unraveling the phylogeny of polygrammoid ferns (polypodiaceae and,FALSE
Serpocaulon_polystichum,NA,NA,NA,EF551077,EF551109,EF551109,EF551147,NA,voucher,huaylla1408,NA,FALSE
Serpocaulon_ptilorhizon,NA,NA,NA,AY362611,NA,NA,NA,NA,unjoined,NA,Unraveling the phylogeny of polygrammoid ferns (Polypodiaceae and,FALSE
Serpocaulon_richardii,NA,NA,NA,DQ227291,DQ151929,DQ151929,DQ151956,NA,voucher,jimenez1986,NA,FALSE
Serpocaulon_sessilifolium,NA,NA,NA,DQ151924,NA,NA,NA,NA,unjoined,boliviajimenez976,"Serpocaulon (Polypodiaceae), a new genus segregated from Polypodium",FALSE
Serpocaulon_silvulae,NA,NA,NA,DQ151925,DQ151952,DQ151952,DQ151979,NA,publication,NA,"serpocaulon (polypodiaceae), a new genus segregated from polypodium",FALSE
Serpocaulon_subandinum,NA,NA,NA,DQ151921,DQ151947,DQ151946,DQ151973,NA,monophy,NA,NA,FALSE
Serpocaulon_triseriale,EF463850,EF463516,NA,EF463263,DQ151953,DQ151953,DQ151980,NA,voucher,jimenez1994,NA,FALSE
Serpocaulon_vacillans,NA,NA,NA,DQ151927,DQ151954,DQ151954,DQ151981,NA,publication,NA,"serpocaulon (polypodiaceae), a new genus segregated from polypodium",FALSE
Serpocaulon_wagneri,NA,NA,NA,DQ151928,DQ151955,DQ151955,DQ151982,NA,publication,NA,"serpocaulon (polypodiaceae), a new genus segregated from polypodium",FALSE
Sphaeropteris_aciculosa,NA,NA,NA,KP337962,NA,NA,NA,NA,unjoined,croft1051,Biogeography of south-east Asian tree ferns (Cyathaceae),FALSE
Sphaeropteris_aeneifolia,NA,NA,NA,AM410185,NA,NA,AM410303,NA,voucher,conant4578,NA,FALSE
Sphaeropteris_albifrons,NA,NA,NA,AM410214,NA,NA,AM410342,NA,voucher,pintaud398,NA,FALSE
Sphaeropteris_angiensis,NA,NA,NA,KP337955,NA,NA,NA,NA,unjoined,conant4629,Biogeography of south-east Asian tree ferns (Cyathaceae),FALSE
Sphaeropteris_atrospinosa,NA,NA,NA,NA,NA,NA,MN155693,NA,unjoined,NA,NA,FALSE
Sphaeropteris_atrox,NA,NA,NA,AM410225,NA,NA,AM410353,NA,voucher,conant4606,NA,FALSE
Sphaeropteris_auriculifera,AM176456,AM176615,NA,AM177348,AM176504,AM176504,AM410334,NA,monophy,NA,NA,FALSE
Sphaeropteris_australis,NA,NA,NA,AM410215,NA,NA,AM410343,NA,voucher,shirley04,NA,FALSE
Sphaeropteris_brackenridgei,NA,NA,NA,KP338001,NA,NA,NA,NA,unjoined,wade2902,Biogeography of south-east Asian tree ferns (Cyathaceae),FALSE
Sphaeropteris_brunei,AM176457,AM176616,NA,AM177349,AM176505,AM176505,AM410301,NA,voucher,conant4388,NA,FALSE
Sphaeropteris_brunoniana,NA,NA,NA,NA,NA,NA,NA,MT543220,NA,NA,NA,FALSE
Sphaeropteris_capitata,EF463642,EF463366,NA,AM410192,NA,NA,AM410311,NA,voucher,conant4710,NA,FALSE
Sphaeropteris_celebica,EF463643,EF463367,NA,AM410195,NA,NA,AM410317,NA,voucher,shirley02,NA,FALSE
Sphaeropteris_cooperi,JF690125,NA,NA,HM347350,NA,NA,JF742607,NA,voucher,yansura2,NA,FALSE
Sphaeropteris_cuatrecasasii,NA,NA,NA,NA,NA,NA,MN155707,NA,unjoined,NA,NA,FALSE
